GAllants,gallants,c,SubjectivePercept,0
",",",",s,,0
in,in,s,,0
this,this,s,,0
good,good,s,,0
Godly,godly,s,StandardsPos,0
Time,time,s,TimeDuration,0
of,of,s,TimeDuration,1
Lent,lent,c,AbstractConcepts,0
.,.,n,,0
I,i,s,SelfDisclosure,0
am,am,s,SelfDisclosure,1
come,come,s,ReportingEvents,0
forth,forth,s,ReportingEvents,1
to,to,s,,0
bid,bid,s,ReportingEvents,0
you,you,s,DirectAddress,0
all,all,s,DirectAddress,1
repent,repent,c,Negative_Relation,0
.,.,n,,0
You,you,s,DirectAddress,0
Sparks,sparks,s,SenseProperty,0
I,i,s,FirstPer,0
see,see,s,,0
have,have,s,,0
got,got,s,Narrative_Verbs,0
a,a,s,Narrative_Verbs,1
Pious,pious,s,StandardsPos,0
Notion,notion,c,PrivateThinking,0
",",",",n,,0
You,you,s,DirectAddress,0
put,put,s,Transformation,0
on,on,s,Transformation,1
Black,black,s,SenseProperty,0
to,to,s,DirectAddress,0
show,show,s,DirectAddress,1
your,your,s,DirectAddress,2
great,great,s,Intensity,0
Devotion,devotion,c,StandardsPos,0
:,:,n,,0
But,but,s,Resistance,0
lest,lest,s,Negativity,0
you,you,s,Insist,0
should,should,s,Insist,1
mistake,mistake,s,Negativity,0
what,what,s,,0
I,i,s,SelfDisclosure,0
intend,intend,c,SelfDisclosure,1
",",",",n,,0
Let,let,s,ReportingEvents,0
me,me,s,FirstPer,0
tell,tell,s,DirectAddress,0
you,you,s,DirectAddress,1
your,your,s,DirectAddress,0
Faults,faults,c,StandardsNeg,0
",",",",s,,0
and,and,s,,0
how,how,s,Curiosity,0
to,to,s,Curiosity,1
mend,mend,c,Positivity,0
.,.,n,Sequence,0
First,first,c,Sequence,1
",",",",s,Sequence,2
leave,leave,s,SceneShift,0
to,to,s,SceneShift,1
show,show,s,DirectAddress,0
your,your,s,DirectAddress,1
Valor,valor,s,StandardsPos,0
in,in,s,,0
the,the,s,SenseObject,0
Pit,pit,c,SenseObject,1
",",",",n,,0
Leave,leave,s,,0
Railing,railing,s,Negative_Relation,0
at,at,s,Negative_Relation,1
Great,great,s,Intensity,0
Men,men,s,PersonProperty,0
to,to,s,DirectAddress,0
show,show,s,DirectAddress,1
your,your,s,DirectAddress,2
Wit,wit,c,StandardsPos,0
